dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,dsatur,28,0.019321593004860915,0,True
random_er,ER_n100_p0.7_r1,100,3476,100,0.7,1,tabu_search,26,1.9006173399975523,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,greedy_welsh_powell,29,0.00047968099534045905,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,dsatur,25,0.0197565700073028,0,True
random_er,ER_n100_p0.7_r2,100,3463,100,0.7,2,tabu_search,25,0.5551930719957454,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,greedy_welsh_powell,29,0.00047301298764068633,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,dsatur,26,0.019445354992058128,0,True
random_er,ER_n100_p0.7_r3,100,3507,100,0.7,3,tabu_search,26,0.5368655609927373,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,greedy_welsh_powell,28,0.0005260100006125867,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,dsatur,27,0.019607119000284,0,True
random_er,ER_n100_p0.7_r4,100,3436,100,0.7,4,tabu_search,26,0.9321500909863971,0,True
dimacs,huck,74,301,,,,greedy_welsh_powell,11,0.0001045460085151717,0,True
dimacs,huck,74,301,,,,dsatur,11,0.0022712720092386007,0,True
dimacs,huck,74,301,,,,tabu_search,11,0.01763322000624612,0,True
dimacs,myciel3,11,20,,,,greedy_welsh_powell,4,2.6969995815306902e-05,0,True
dimacs,myciel3,11,20,,,,dsatur,4,6.166899402160197e-05,0,True
dimacs,myciel3,11,20,,,,tabu_search,4,0.0012820769916288555,0,True
dimacs,myciel4,23,71,,,,greedy_welsh_powell,5,3.3607997465878725e-05,0,True
dimacs,myciel4,23,71,,,,dsatur,5,0.0002474819921189919,0,True
dimacs,myciel4,23,71,,,,tabu_search,5,0.0032977200025925413,0,True
dimacs,myciel5,47,236,,,,greedy_welsh_powell,6,7.646401354577392e-05,0,True
dimacs,myciel5,47,236,,,,dsatur,6,0.0011942749988520518,0,True
dimacs,myciel5,47,236,,,,tabu_search,6,0.010894974999246188,0,True
dimacs,queen5_5,25,160,,,,greedy_welsh_powell,7,5.024799611419439e-05,0,True
dimacs,queen5_5,25,160,,,,dsatur,5,0.0003726350114447996,0,True
dimacs,queen5_5,25,160,,,,tabu_search,5,0.013578616999438964,0,True
