dataset_type,family,instance,repeat,seed,nodes,edges,parameters,density,avg_degree,max_degree,degeneracy,clustering,algorithm,colors,time_seconds,conflicts,valid
synthetic,erdos_renyi,ER_n120_p0.2_r3,3,1200203,120,1442,n=120;p=0.2,0.2019607843137255,24.033333333333335,37,17,0.20487661026989085,tabu_search,10,0.13924932800000533,0,True
synthetic,erdos_renyi,ER_n120_p0.2_r3,3,1200203,120,1442,n=120;p=0.2,0.2019607843137255,24.033333333333335,37,17,0.20487661026989085,structure_aware_hybrid,10,0.13850913099304307,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r0,0,1200400,120,2881,n=120;p=0.4,0.4035014005602241,48.016666666666666,67,38,0.40305919593285255,greedy_welsh_powell,18,0.000438035000115633,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r0,0,1200400,120,2881,n=120;p=0.4,0.4035014005602241,48.016666666666666,67,38,0.40305919593285255,dsatur,17,0.0209432910050964,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r0,0,1200400,120,2881,n=120;p=0.4,0.4035014005602241,48.016666666666666,67,38,0.40305919593285255,tabu_search,17,0.3653358279989334,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r0,0,1200400,120,2881,n=120;p=0.4,0.4035014005602241,48.016666666666666,67,38,0.40305919593285255,structure_aware_hybrid,17,0.3645021970005473,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r1,1,1200401,120,2877,n=120;p=0.4,0.40294117647058825,47.95,61,38,0.40065774871932025,greedy_welsh_powell,18,0.00047186200390569866,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r1,1,1200401,120,2877,n=120;p=0.4,0.40294117647058825,47.95,61,38,0.40065774871932025,dsatur,17,0.021433717993204482,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r1,1,1200401,120,2877,n=120;p=0.4,0.40294117647058825,47.95,61,38,0.40065774871932025,tabu_search,17,0.33695592600270174,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r1,1,1200401,120,2877,n=120;p=0.4,0.40294117647058825,47.95,61,38,0.40065774871932025,structure_aware_hybrid,17,0.33716648700647056,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r2,2,1200402,120,2869,n=120;p=0.4,0.40182072829131654,47.81666666666667,62,39,0.39990109310563576,greedy_welsh_powell,21,0.00042865899740718305,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r2,2,1200402,120,2869,n=120;p=0.4,0.40182072829131654,47.81666666666667,62,39,0.39990109310563576,dsatur,17,0.021994116992573254,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r2,2,1200402,120,2869,n=120;p=0.4,0.40182072829131654,47.81666666666667,62,39,0.39990109310563576,tabu_search,17,0.3640685340069467,0,True
synthetic,erdos_renyi,ER_n120_p0.4_r2,2,1200402,120,2869,n=120;p=0.4,0.40182072829131654,47.81666666666667,62,39,0.39990109310563576,structure_aware_hybrid,17,0.36435256100958213,0,True
